Student ID,Department,Programme,Book ID,Book Category,Issue Date,Return Date,Entry Time,Exit Time,Not Returned,Borrow_Days,Month,Year,Day_Name
SOM24014,Sociology,M.A. in Sociology,B00247,Mathematics,2024-11-25,2024-12-01,18:32,19:30,False,6.0,11,2024,Monday
MSB22082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),B00452,Computer Science,2024-11-29,2024-12-18,09:57,12:20,False,19.0,11,2024,Friday
DEP24280,Design,Ph.D. in Design,B00220,Chemistry,2025-07-06,2025-07-24,11:47,16:51,False,18.0,7,2025,Sunday
EDM22142,Education,M. A. in Education,B00273,Mathematics,2025-06-30,2025-07-22,16:06,19:30,False,22.0,6,2025,Monday
DEP20011,Design,Ph.D. in Design,B00476,Chemistry,2025-02-24,2025-03-06,15:53,19:20,False,10.0,2,2025,Monday
HIM25239,Hindi,M. A. in Hindi,B00073,Physics,2025-09-26,2025-09-27,15:43,19:30,False,1.0,9,2025,Friday
BAT23130,Business Administration,Master of Tourism & Travel Management,B00102,Physics,2025-07-16,2025-08-07,15:11,19:30,False,22.0,7,2025,Wednesday
MBM21295,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,B00470,Computer Science,2024-12-22,2024-12-29,15:54,17:00,False,7.0,12,2024,Sunday
FET22244,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,B00025,Management,2026-02-05,2026-02-24,13:15,17:57,False,19.0,2,2026,Thursday
CSE21155,Computer Science & Engineering,M. Tech. in Data Science,B00139,Humanities,2026-05-01,,11:59,17:20,True,,5,2026,Friday
COP25080,Commerce,Ph.D. in Commerce,B00432,Chemistry,2025-08-27,2025-09-22,14:52,15:37,False,26.0,8,2025,Wednesday
MCP25085,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,B00032,Mathematics,2026-04-13,,13:19,17:25,True,,4,2026,Monday
MEB25053,Mechanical Engineering,B. Tech. in Mechanical Engineering,B00064,Chemistry,2025-09-23,2025-09-26,13:26,19:01,False,3.0,9,2025,Tuesday
MCM25179,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,B00011,Humanities,2026-01-07,,14:03,19:30,True,,1,2026,Wednesday
CTM25234,Cultural Studies,M.A. in Cultural Studies,B00383,Physics,2026-03-18,2026-03-26,13:29,18:15,False,8.0,3,2026,Wednesday
EDT20298,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,B00408,Mathematics,2025-08-18,2025-08-19,13:59,15:53,False,1.0,8,2025,Monday
EEM24032,Electrical Engineering,M. Tech in Electrical Engineering,B00156,Chemistry,2026-02-14,2026-03-11,12:18,17:00,False,25.0,2,2026,Saturday
CSP21191,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,B00051,Mechanical,2024-07-10,2024-08-01,09:32,10:50,False,22.0,7,2024,Wednesday
DEM20237,Design,Master of Design,B00429,Electronics,2026-02-19,2026-03-08,11:56,16:17,False,17.0,2,2026,Thursday
MBP20008,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,B00244,Mechanical,2024-10-08,2024-10-25,17:23,18:53,False,17.0,10,2024,Tuesday
MEB25053,Mechanical Engineering,B. Tech. in Mechanical Engineering,B00207,Humanities,2025-11-01,,15:13,17:00,True,,11,2025,Saturday
EGP21198,English,Ph.D. in English,B00188,Humanities,2025-03-18,2025-04-05,11:04,16:22,False,18.0,3,2025,Tuesday
CEM20151,Civil Engineering,M. Tech. in Civil Engineering,B00097,Computer Science,2026-01-31,2026-02-22,13:36,17:00,False,22.0,1,2026,Saturday
MRP25300,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,B00148,Chemistry,2025-12-13,,16:01,17:00,True,,12,2025,Saturday
COI20075,Commerce,Integrated M. Com.,B00199,Mechanical,2024-10-18,2024-11-03,11:24,16:48,False,16.0,10,2024,Friday
SOM20181,Sociology,M.A. in Sociology,B00377,Management,2025-04-10,2025-04-14,11:46,17:32,False,4.0,4,2025,Thursday
HIM23284,Hindi,M. A. in Hindi,B00243,Management,2026-03-09,2026-04-02,17:02,19:30,False,24.0,3,2026,Monday
EGL25294,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,B00317,Mechanical,2025-11-10,2025-12-08,18:55,19:30,False,28.0,11,2025,Monday
EGP21092,English,Ph.D. in English,B00155,Electronics,2025-04-30,2025-05-12,11:33,17:33,False,12.0,4,2025,Wednesday
BAT23190,Business Administration,Master of Tourism & Travel Management,B00237,Mechanical,2025-12-12,2025-12-16,10:45,13:03,False,4.0,12,2025,Friday
EGL23081,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,B00109,Electronics,2026-03-15,2026-04-04,13:03,17:00,False,20.0,3,2026,Sunday
ECS21002,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,B00231,Fiction,2025-11-30,2025-12-18,13:31,15:01,False,18.0,11,2025,Sunday
EEP21121,Electrical Engineering,Ph.D. in Electrical Engineering,B00369,Humanities,2025-11-10,2025-11-17,13:39,14:23,False,7.0,11,2025,Monday
MEB22279,Mechanical Engineering,B. Tech. in Mechanical Engineering,B00340,Physics,2025-02-02,2025-02-15,12:21,14:46,False,13.0,2,2025,Sunday
MBP24005,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,B00094,Electronics,2025-12-05,2025-12-24,13:01,15:51,False,19.0,12,2025,Friday
MEB22279,Mechanical Engineering,B. Tech. in Mechanical Engineering,B00020,Management,2025-09-27,2025-10-14,11:49,14:46,False,17.0,9,2025,Saturday
MSP23143,Mathematical Sciences,Ph.D. in Mathematical Sciences,B00378,Physics,2024-10-30,2024-11-15,17:01,18:55,False,16.0,10,2024,Wednesday
SWP23051,Social Work,Ph.D. in Social Work,B00159,Mechanical,2025-07-30,2025-08-08,13:03,16:12,False,9.0,7,2025,Wednesday
BAM24161,Business Administration,Certificate in NSE Academy Certified Capital Market,B00127,Mechanical,2025-06-07,,11:30,12:18,True,,6,2025,Saturday
ECS21002,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,B00323,Fiction,2025-04-17,2025-05-12,15:15,16:27,False,25.0,4,2025,Thursday
CST21093,Computer Science & Engineering,M. Tech. in Computer Science and Engineering,B00109,Electronics,2026-01-31,,11:23,14:56,True,,1,2026,Saturday
APP22223,Applied Sciences,Ph.D. in Applied Sciences,B00346,Computer Science,2026-04-27,2026-05-01,14:55,19:30,False,4.0,4,2026,Monday
MEM20067,Mechanical Engineering,M. Tech in Mechanical Engineering,B00466,Humanities,2025-06-14,2025-07-10,12:45,16:26,False,26.0,6,2025,Saturday
BAM25056,Business Administration,Certificate in NSE Academy Certified Capital Market,B00129,Physics,2025-09-14,,16:18,17:00,True,,9,2025,Sunday
EDP22021,Education,Ph.D. in Education,B00326,Humanities,2025-06-13,2025-06-18,14:37,17:15,False,5.0,6,2025,Friday
PHP25152,Physics,Ph.D. in Physics,B00468,Mechanical,2025-12-10,2025-12-29,14:34,15:48,False,19.0,12,2025,Wednesday
SOM20181,Sociology,M.A. in Sociology,B00450,Chemistry,2025-03-06,2025-04-03,11:03,11:53,False,28.0,3,2025,Thursday
DEP25100,Design,Ph.D. in Design,B00111,Mathematics,2025-08-07,2025-08-31,14:58,17:58,False,24.0,8,2025,Thursday
PHB22136,Physics,Integrated B.Sc.B.Ed. (Physics Major),B00314,Humanities,2025-08-15,2025-08-25,16:02,17:34,False,10.0,8,2025,Friday
MEM20067,Mechanical Engineering,M. Tech in Mechanical Engineering,B00063,Humanities,2024-11-02,2024-11-13,12:50,14:59,False,11.0,11,2024,Saturday
SOM22069,Sociology,M.A. in Sociology,B00254,Mechanical,2025-10-12,2025-10-13,10:18,12:50,False,1.0,10,2025,Sunday
EEP23219,Electrical Engineering,Ph.D. in Electrical Engineering,B00274,Fiction,2025-12-17,2026-01-06,14:58,17:41,False,20.0,12,2025,Wednesday
EEP25224,Electrical Engineering,Ph.D. in Electrical Engineering,B00026,Chemistry,2026-04-07,,11:07,13:46,True,,4,2026,Tuesday
MSM24200,Mathematical Sciences,M. Sc. in Mathematics,B00135,Physics,2026-01-27,2026-01-31,18:38,19:27,False,4.0,1,2026,Tuesday
MBI20167,Molecular Biology & Biotechnology,Integrated M.Sc. Life Science,B00278,Mechanical,2026-02-05,2026-03-04,13:37,16:11,False,27.0,2,2026,Thursday
CSB20272,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,B00150,Mathematics,2024-11-08,2024-11-18,15:02,18:35,False,10.0,11,2024,Friday
DEP25068,Design,Ph.D. in Design,B00299,Computer Science,2025-10-05,2025-10-06,14:30,17:00,False,1.0,10,2025,Sunday
COP24288,Commerce,Ph.D. in Commerce,B00344,Management,2025-02-10,2025-02-12,10:01,15:29,False,2.0,2,2025,Monday
MBP25018,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,B00417,Management,2026-03-07,2026-04-04,14:31,17:00,False,28.0,3,2026,Saturday
HIM21235,Hindi,M. A. in Hindi,B00093,Computer Science,2025-06-11,2025-06-30,09:56,10:57,False,19.0,6,2025,Wednesday
DEP25100,Design,Ph.D. in Design,B00494,Electronics,2026-02-12,2026-02-13,13:58,17:37,False,1.0,2,2026,Thursday
EDM20146,Education,M. A. in Education,B00036,Management,2025-09-02,2025-09-25,12:23,14:49,False,23.0,9,2025,Tuesday
MBP25018,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,B00295,Mathematics,2026-04-15,,10:00,10:35,True,,4,2026,Wednesday
FET20168,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,B00283,Humanities,2025-07-24,2025-08-23,11:56,14:07,False,30.0,7,2025,Thursday
ENP20044,Energy,Ph.D. in Energy,B00151,Mechanical,2025-05-05,2025-05-28,16:26,18:21,False,23.0,5,2025,Monday
BAM21104,Business Administration,Master of Business Administration,B00275,Electronics,2025-04-02,2025-04-16,13:55,19:30,False,14.0,4,2025,Wednesday
ECB21131,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,B00147,Fiction,2024-07-20,2024-08-09,15:23,16:26,False,20.0,7,2024,Saturday
BAM22144,Business Administration,Master of Business Administration,B00133,Chemistry,2024-09-03,2024-10-01,15:23,19:30,False,28.0,9,2024,Tuesday
COM21199,Commerce,M.Com,B00038,Physics,2024-12-15,2024-12-20,16:06,17:00,False,5.0,12,2024,Sunday
CHP24058,Chemical Sciences,Ph.D. in Chemical Sciences,B00195,Electronics,2025-10-10,2025-10-23,17:21,19:17,False,13.0,10,2025,Friday
DEP25141,Design,Ph.D. in Design,B00139,Humanities,2026-05-01,,09:56,14:47,True,,5,2026,Friday
PHM22192,Physics,M. Sc. in Physics,B00305,Electronics,2026-01-01,2026-01-27,09:00,10:54,False,26.0,1,2026,Thursday
EGE25208,English,M. A. in English,B00117,Mathematics,2025-10-17,2025-11-04,12:53,16:57,False,18.0,10,2025,Friday
PHM23022,Physics,M. Sc. in Physics,B00212,Management,2024-05-23,2024-06-18,14:48,18:17,False,26.0,5,2024,Thursday
CEP23060,Civil Engineering,Ph.D. in Civil Engineering,B00279,Electronics,2025-08-18,2025-09-04,16:56,19:30,False,17.0,8,2025,Monday
HIP22031,Hindi,Ph.D. in Hindi,B00471,Physics,2026-03-25,2026-04-02,11:31,15:19,False,8.0,3,2026,Wednesday
PHM23048,Physics,M. Sc. in Physics,B00005,Electronics,2025-09-05,2025-09-08,12:07,15:13,False,3.0,9,2025,Friday
MSB25096,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),B00209,Chemistry,2026-03-09,2026-03-28,17:41,19:30,False,19.0,3,2026,Monday
MBI20167,Molecular Biology & Biotechnology,Integrated M.Sc. Life Science,B00069,Physics,2025-04-07,2025-04-25,16:48,19:30,False,18.0,4,2025,Monday
EDM24110,Education,M. A. in Education,B00311,Chemistry,2025-05-09,2025-05-30,11:31,14:18,False,21.0,5,2025,Friday
MBM20246,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,B00026,Chemistry,2026-03-05,2026-03-10,10:46,12:59,False,5.0,3,2026,Thursday
FET20299,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,B00054,Chemistry,2024-08-18,2024-09-13,11:18,17:00,False,26.0,8,2024,Sunday
SWM22113,Social Work,M. A. in Social Work,B00169,Mathematics,2024-09-23,2024-09-25,17:12,19:30,False,2.0,9,2024,Monday
EGP20285,English,Ph.D. in English,B00131,Management,2024-09-29,2024-10-07,15:55,17:00,False,8.0,9,2024,Sunday
CSP22050,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,B00475,Mechanical,2024-11-23,,12:15,17:00,True,,11,2024,Saturday
HIP24037,Hindi,Ph.D. in Hindi,B00090,Electronics,2025-12-08,2025-12-23,14:47,16:16,False,15.0,12,2025,Monday
ECP24205,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,B00165,Mechanical,2024-12-19,2024-12-28,11:24,17:21,False,9.0,12,2024,Thursday
MCP25085,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,B00068,Chemistry,2026-04-11,2026-04-17,16:29,17:00,False,6.0,4,2026,Saturday
EDP25177,Education,Ph.D. in Education,B00147,Fiction,2025-10-13,2025-11-08,14:45,16:50,False,26.0,10,2025,Monday
ENE20158,Energy,M. Tech in Energy Technology,B00172,Chemistry,2026-04-03,2026-04-07,17:52,19:30,False,4.0,4,2026,Friday
COI21289,Commerce,Integrated M. Com.,B00257,Physics,2025-07-06,2025-07-19,14:20,17:00,False,13.0,7,2025,Sunday
HIP20116,Hindi,Ph.D. in Hindi,B00427,Mathematics,2025-10-30,2025-11-05,12:29,14:42,False,6.0,10,2025,Thursday
DEP23184,Design,Ph.D. in Design,B00307,Fiction,2024-08-16,2024-09-15,12:12,16:03,False,30.0,8,2024,Friday
