Date,Roll No,Department,Programme,Entry Time,Exit Time,Study_Duration_Hours,Entry_Hour
2025-10-23,APP21028,Applied Sciences,Ph.D. in Applied Sciences,2026-05-06 13:16:00,2026-05-06 16:09:00,2.8833333333333333,13
2024-06-18,EEP22174,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 20:57:00,2026-05-06 00:59:00,-19.966666666666665,20
2025-01-07,BAT24164,Business Administration,Master of Tourism & Travel Management,2026-05-06 21:46:00,2026-05-06 23:00:00,1.2333333333333334,21
2024-12-04,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),2026-05-06 11:21:00,2026-05-06 15:16:00,3.9166666666666665,11
2026-04-03,EDT25169,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 20:34:00,2026-05-06 21:13:00,0.65,20
2025-01-28,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 20:22:00,2026-05-06 01:01:00,-19.35,20
2025-10-22,ASM21202,Assamese,M.A. in Assamese,2026-05-06 22:16:00,2026-05-06 23:57:00,1.6833333333333333,22
2024-11-04,ASP24139,Assamese,Ph.D. in Assamese,2026-05-06 14:29:00,2026-05-06 21:51:00,7.366666666666666,14
2026-02-02,DEM21290,Design,Master of Design,2026-05-06 17:50:00,2026-05-06 01:21:00,-16.483333333333334,17
2026-01-24,BAM23213,Business Administration,Certificate in NSE Academy Certified Capital Market,2026-05-06 15:26:00,2026-05-06 19:25:00,3.9833333333333334,15
2025-08-29,MSB25181,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),2026-05-06 11:35:00,2026-05-06 13:18:00,1.7166666666666666,11
2026-03-03,LLP25002,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 14:19:00,2026-05-06 21:44:00,7.416666666666667,14
2025-04-26,CSM21168,Computer Science & Engineering,Master of Computer Application  (MCA),2026-05-06 01:23:00,2026-05-06 03:00:00,1.6166666666666667,1
2024-06-15,LAP22136,Law,Ph.D. in Law,2026-05-06 16:54:00,2026-05-06 17:24:00,0.5,16
2026-03-31,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 12:35:00,2026-05-06 16:48:00,4.216666666666667,12
2025-08-29,ASM21202,Assamese,M.A. in Assamese,2026-05-06 19:28:00,2026-05-06 00:37:00,-18.85,19
2025-12-07,ENP20037,Energy,Ph.D. in Energy,2026-05-06 20:59:00,2026-05-06 03:00:00,-17.983333333333334,20
2025-07-08,CTP24102,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 23:39:00,2026-05-06 02:31:00,-21.133333333333333,23
2024-11-11,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,2026-05-06 09:58:00,2026-05-06 12:42:00,2.7333333333333334,9
2026-04-19,CEM24183,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 21:37:00,2026-05-06 01:19:00,-20.3,21
2025-09-13,ENE24194,Energy,M. Tech in Energy Technology,2026-05-06 15:30:00,2026-05-06 21:10:00,5.666666666666667,15
2026-03-13,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 13:41:00,2026-05-06 18:11:00,4.5,13
2025-03-23,WSP22061,Women Study,Ph.D. in Women Study,2026-05-06 20:12:00,2026-05-06 01:11:00,-19.016666666666666,20
2024-12-23,SWM24175,Social Work,M. A. in Social Work,2026-05-06 17:05:00,2026-05-06 21:50:00,4.75,17
2025-01-19,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 15:54:00,2026-05-06 20:51:00,4.95,15
2026-01-07,MSM20287,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 01:35:00,2026-05-06 03:00:00,1.4166666666666667,1
2025-07-20,COI23128,Commerce,Integrated M. Com.,2026-05-06 18:00:00,2026-05-06 21:26:00,3.433333333333333,18
2025-12-13,EGE25271,English,M. A. in English,2026-05-06 14:19:00,2026-05-06 20:31:00,6.2,14
2026-02-19,ESE23157,Environmental Sciences,M. Sc. in Environmental Science,2026-05-06 14:31:00,2026-05-06 20:08:00,5.616666666666666,14
2024-10-01,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 20:56:00,2026-05-06 02:23:00,-18.55,20
2024-08-22,LAP22136,Law,Ph.D. in Law,2026-05-06 21:24:00,2026-05-06 02:17:00,-19.116666666666667,21
2026-02-24,PHB20074,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 14:39:00,2026-05-06 16:17:00,1.6333333333333333,14
2024-12-19,EDM20259,Education,M. A. in Education,2026-05-06 18:43:00,2026-05-06 01:06:00,-17.616666666666667,18
2025-12-17,LLP24150,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 23:37:00,2026-05-06 03:00:00,-20.616666666666667,23
2026-03-05,EGE22235,English,M. A. in English,2026-05-06 10:47:00,2026-05-06 18:13:00,7.433333333333334,10
2026-04-14,HIM22084,Hindi,M. A. in Hindi,2026-05-06 23:41:00,2026-05-06 03:00:00,-20.683333333333334,23
2025-10-31,FLB20221,Linguistics and Language Technology,BA in Chinese,2026-05-06 10:18:00,2026-05-06 15:10:00,4.866666666666666,10
2026-04-20,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,2026-05-06 11:57:00,2026-05-06 18:48:00,6.85,11
2025-10-14,SWP25079,Social Work,Ph.D. in Social Work,2026-05-06 10:00:00,2026-05-06 14:18:00,4.3,10
2024-08-23,MCP22112,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 21:10:00,2026-05-06 00:09:00,-21.016666666666666,21
2025-02-12,CSP23239,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,2026-05-06 22:21:00,2026-05-06 23:38:00,1.2833333333333334,22
2025-08-10,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 15:33:00,2026-05-06 20:16:00,4.716666666666667,15
