Date,Roll No,Department,Programme,Entry Time,Exit Time
2025-10-23,APP21028,Applied Sciences,Ph.D. in Applied Sciences,13:16,16:09
2024-06-18,EEP22174,Electrical Engineering,Ph.D. in Electrical Engineering,20:57,00:59
2025-01-07,BAT24164,Business Administration,Master of Tourism & Travel Management,21:46,23:00
2024-12-04,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),11:21,15:16
2026-04-03,EDT25169,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,20:34,21:13
2025-01-28,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,20:22,01:01
2025-10-22,ASM21202,Assamese,M.A. in Assamese,22:16,23:57
2024-11-04,ASP24139,Assamese,Ph.D. in Assamese,14:29,21:51
2026-02-02,DEM21290,Design,Master of Design,17:50,01:21
2026-01-24,BAM23213,Business Administration,Certificate in NSE Academy Certified Capital Market,15:26,19:25
2025-08-29,MSB25181,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),11:35,13:18
2026-03-03,LLP25002,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,14:19,21:44
2025-04-26,CSM21168,Computer Science & Engineering,Master of Computer Application  (MCA),01:23,03:00
2024-06-15,LAP22136,Law,Ph.D. in Law,16:54,17:24
2026-03-31,CTM25173,Cultural Studies,M.A. in Cultural Studies,12:35,16:48
2025-08-29,ASM21202,Assamese,M.A. in Assamese,19:28,00:37
2025-12-07,ENP20037,Energy,Ph.D. in Energy,20:59,03:00
2025-07-08,CTP24102,Cultural Studies,Ph.D. in Cultural Studies,23:39,02:31
2024-11-11,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,09:58,12:42
2026-04-19,CEM24183,Civil Engineering,M. Tech. in Civil Engineering,21:37,01:19
2025-09-13,ENE24194,Energy,M. Tech in Energy Technology,15:30,21:10
2026-03-13,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,13:41,18:11
2025-03-23,WSP22061,Women Study,Ph.D. in Women Study,20:12,01:11
2024-12-23,SWM24175,Social Work,M. A. in Social Work,17:05,21:50
2025-01-19,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,15:54,20:51
2026-01-07,MSM20287,Mathematical Sciences,M. Sc. in Mathematics,01:35,03:00
2025-07-20,COI23128,Commerce,Integrated M. Com.,18:00,21:26
2025-12-13,EGE25271,English,M. A. in English,14:19,20:31
2026-02-19,ESE23157,Environmental Sciences,M. Sc. in Environmental Science,14:31,20:08
2024-10-01,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,20:56,02:23
2024-08-22,LAP22136,Law,Ph.D. in Law,21:24,02:17
2026-02-24,PHB20074,Physics,Integrated B.Sc.B.Ed. (Physics Major),14:39,16:17
